ω,,,,,,,,,
=2*PI()*366.25/365.25,,,,,,,,,
n,θ,b,t0,t1,t2,t3,=A3,tn',tn
0,0,=C5,0,=D4-($A$2*D4-2*$A4*PI()-$C4*(D4-$A4)-$B4)/($A$2-$C4),=E4-($A$2*E4-2*$A4*PI()-$C4*(E4-$A4)-$B4)/($A$2-$C4),=F4-($A$2*F4-2*$A4*PI()-$C4*(F4-$A4)-$B4)/($A$2-$C4),=A4,=J4-H4,=G4
1,0.0177891476098642,=(B6-B4)/2,=G4+1,=D5-($A$2*D5-2*$A5*PI()-$C5*(D5-$A5)-$B5)/($A$2-$C5),=E5-($A$2*E5-2*$A5*PI()-$C5*(E5-$A5)-$B5)/($A$2-$C5),=F5-($A$2*F5-2*$A5*PI()-$C5*(F5-$A5)-$B5)/($A$2-$C5),=A5,=J5-H5,=G5
2,0.0355781103148196,=(B7-B5)/2,=G5+1,=D6-($A$2*D6-2*$A6*PI()-$C6*(D6-$A6)-$B6)/($A$2-$C6),=E6-($A$2*E6-2*$A6*PI()-$C6*(E6-$A6)-$B6)/($A$2-$C6),=F6-($A$2*F6-2*$A6*PI()-$C6*(F6-$A6)-$B6)/($A$2-$C6),=A6,=J6-H6,=G6
3,0.0533667032790366,=(B8-B6)/2,=G6+1,=D7-($A$2*D7-2*$A7*PI()-$C7*(D7-$A7)-$B7)/($A$2-$C7),=E7-($A$2*E7-2*$A7*PI()-$C7*(E7-$A7)-$B7)/($A$2-$C7),=F7-($A$2*F7-2*$A7*PI()-$C7*(F7-$A7)-$B7)/($A$2-$C7),=A7,=J7-H7,=G7
4,0.0711547418048027,=(B9-B7)/2,=G7+1,=D8-($A$2*D8-2*$A8*PI()-$C8*(D8-$A8)-$B8)/($A$2-$C8),=E8-($A$2*E8-2*$A8*PI()-$C8*(E8-$A8)-$B8)/($A$2-$C8),=F8-($A$2*F8-2*$A8*PI()-$C8*(F8-$A8)-$B8)/($A$2-$C8),=A8,=J8-H8,=G8
5,0.0889420414014803,=(B10-B8)/2,=G8+1,=D9-($A$2*D9-2*$A9*PI()-$C9*(D9-$A9)-$B9)/($A$2-$C9),=E9-($A$2*E9-2*$A9*PI()-$C9*(E9-$A9)-$B9)/($A$2-$C9),=F9-($A$2*F9-2*$A9*PI()-$C9*(F9-$A9)-$B9)/($A$2-$C9),=A9,=J9-H9,=G9
6,0.106728417854344,=(B11-B9)/2,=G9+1,=D10-($A$2*D10-2*$A10*PI()-$C10*(D10-$A10)-$B10)/($A$2-$C10),=E10-($A$2*E10-2*$A10*PI()-$C10*(E10-$A10)-$B10)/($A$2-$C10),=F10-($A$2*F10-2*$A10*PI()-$C10*(F10-$A10)-$B10)/($A$2-$C10),=A10,=J10-H10,=G10
7,0.124513687293255,=(B12-B10)/2,=G10+1,=D11-($A$2*D11-2*$A11*PI()-$C11*(D11-$A11)-$B11)/($A$2-$C11),=E11-($A$2*E11-2*$A11*PI()-$C11*(E11-$A11)-$B11)/($A$2-$C11),=F11-($A$2*F11-2*$A11*PI()-$C11*(F11-$A11)-$B11)/($A$2-$C11),=A11,=J11-H11,=G11
8,0.142297666261139,=(B13-B11)/2,=G11+1,=D12-($A$2*D12-2*$A12*PI()-$C12*(D12-$A12)-$B12)/($A$2-$C12),=E12-($A$2*E12-2*$A12*PI()-$C12*(E12-$A12)-$B12)/($A$2-$C12),=F12-($A$2*F12-2*$A12*PI()-$C12*(F12-$A12)-$B12)/($A$2-$C12),=A12,=J12-H12,=G12
9,0.16008017178222,=(B14-B12)/2,=G12+1,=D13-($A$2*D13-2*$A13*PI()-$C13*(D13-$A13)-$B13)/($A$2-$C13),=E13-($A$2*E13-2*$A13*PI()-$C13*(E13-$A13)-$B13)/($A$2-$C13),=F13-($A$2*F13-2*$A13*PI()-$C13*(F13-$A13)-$B13)/($A$2-$C13),=A13,=J13-H13,=G13
